subject,checker_type,destination,tested_at
www.zjemch.ru,AVAILABILITY,domains.list,48:19.6
www.zny.coiner.site,AVAILABILITY,domains.list,48:20.3
www.xvideosharing.site,AVAILABILITY,domains.list,48:21.1
www.zymerget.date,AVAILABILITY,domains.list,48:21.6
www.zona.plus,AVAILABILITY,domains.list,48:22.8
www.zymerget.faith,AVAILABILITY,domains.list,48:23.4
www.zymerget.party,AVAILABILITY,domains.list,48:24.0
www.zndaowjdnf.stream,AVAILABILITY,domains.list,48:24.6
www.zzqhsrg.ru,AVAILABILITY,domains.list,48:25.5
www.zymerget.stream,AVAILABILITY,domains.list,48:26.0
www-tb7c.pr0gramm.com,AVAILABILITY,domains.list,48:26.5
www.zymerget.win,AVAILABILITY,domains.list,48:27.0
x.browsermine.com,AVAILABILITY,domains.list,48:27.6
xgmc6lu8fs.me,AVAILABILITY,domains.list,48:28.2
xmr10.crypto-pool.fr,AVAILABILITY,domains.list,48:28.7
xml.mining.best,AVAILABILITY,domains.list,48:29.4
xmr.e-libra.ru,AVAILABILITY,domains.list,48:29.8
xmrm.browsermine.com,AVAILABILITY,domains.list,48:30.4
xmrm.pw,AVAILABILITY,domains.list,48:31.0
xmr.mining.best,AVAILABILITY,domains.list,48:31.6
xvideosharing.site,AVAILABILITY,domains.list,48:32.3
xssrmimmnq.ru,AVAILABILITY,domains.list,48:32.9
ybjfsqcevow.ru,AVAILABILITY,domains.list,48:33.7
yoaabgvkm.ru,AVAILABILITY,domains.list,48:34.4
yololike.space,AVAILABILITY,domains.list,48:34.9
yourloganalytics.com,AVAILABILITY,domains.list,48:35.5
yuyyio.com,AVAILABILITY,domains.list,48:36.1
zavzlen.ru,AVAILABILITY,domains.list,48:37.0
yqaywudifu.date,AVAILABILITY,domains.list,48:37.5
zgdfz6h7po.me,AVAILABILITY,domains.list,48:38.3
zivbxion.ru,AVAILABILITY,domains.list,48:39.1
ziykrgc.ru,AVAILABILITY,domains.list,48:39.7
zjemch.ru,AVAILABILITY,domains.list,48:40.2
zndaowjdnf.stream,AVAILABILITY,domains.list,48:40.8
zny.coiner.site,AVAILABILITY,domains.list,48:41.5
zxc1-ustokyyneikyfasnm.stackpathdns.com,AVAILABILITY,domains.list,48:41.9
zymerget.date,AVAILABILITY,domains.list,48:42.4
zymerget.faith,AVAILABILITY,domains.list,48:43.0
zymerget.stream,AVAILABILITY,domains.list,48:43.5
zymerget.party,AVAILABILITY,domains.list,48:44.0
zymerget.win,AVAILABILITY,domains.list,48:44.6
zzqhsrg.ru,AVAILABILITY,domains.list,48:45.3
magnetbay.eu,AVAILABILITY,domains.list,48:46.3
p.tidafors.xyz,AVAILABILITY,domains.list,48:46.9
sumo.cryptonoter.com,AVAILABILITY,domains.list,48:50.6
test.cryptonoter.com,AVAILABILITY,domains.list,48:51.5
webminepool.tk,AVAILABILITY,domains.list,48:52.6
ws02.1q2w3.website,AVAILABILITY,domains.list,48:53.4
ws001.ws.tidafors.xyz,AVAILABILITY,domains.list,48:54.0
pool.cryptonoter.com,AVAILABILITY,domains.list,48:54.7
ws03.1q2w3.website,AVAILABILITY,domains.list,48:55.4
ws002.ws.tidafors.xyz,AVAILABILITY,domains.list,48:56.1
ws003.ws.tidafors.xyz,AVAILABILITY,domains.list,48:56.8
ws004.ws.tidafors.xyz,AVAILABILITY,domains.list,48:57.4
ws006.ws.tidafors.xyz,AVAILABILITY,domains.list,48:58.1
ws005.ws.tidafors.xyz,AVAILABILITY,domains.list,48:58.7
ws008.ws.tidafors.xyz,AVAILABILITY,domains.list,48:59.3
ws009.ws.tidafors.xyz,AVAILABILITY,domains.list,49:00.0
ws007.ws.tidafors.xyz,AVAILABILITY,domains.list,49:00.6
ws011.ws.tidafors.xyz,AVAILABILITY,domains.list,49:01.3
ws010.ws.tidafors.xyz,AVAILABILITY,domains.list,49:02.0
ws013.ws.tidafors.xyz,AVAILABILITY,domains.list,49:02.8
ws014.ws.tidafors.xyz,AVAILABILITY,domains.list,49:03.3
ws012.ws.tidafors.xyz,AVAILABILITY,domains.list,49:04.0
ws015.ws.tidafors.xyz,AVAILABILITY,domains.list,49:04.7
ws016.ws.tidafors.xyz,AVAILABILITY,domains.list,49:05.3
ws017.ws.tidafors.xyz,AVAILABILITY,domains.list,49:06.0
ws018.ws.tidafors.xyz,AVAILABILITY,domains.list,49:11.6
ws019.ws.tidafors.xyz,AVAILABILITY,domains.list,49:12.2
ws020.ws.tidafors.xyz,AVAILABILITY,domains.list,49:12.8
ws021.ws.tidafors.xyz,AVAILABILITY,domains.list,49:13.4
ws023.ws.tidafors.xyz,AVAILABILITY,domains.list,49:14.0
ws025.ws.tidafors.xyz,AVAILABILITY,domains.list,49:14.7
ws024.ws.tidafors.xyz,AVAILABILITY,domains.list,49:15.3
ws022.ws.tidafors.xyz,AVAILABILITY,domains.list,49:16.0
ws026.ws.tidafors.xyz,AVAILABILITY,domains.list,49:16.6
ws027.ws.tidafors.xyz,AVAILABILITY,domains.list,49:17.2
ws028.ws.tidafors.xyz,AVAILABILITY,domains.list,49:17.9
ws030.ws.tidafors.xyz,AVAILABILITY,domains.list,49:18.5
ws031.ws.tidafors.xyz,AVAILABILITY,domains.list,49:19.1
ws029.ws.tidafors.xyz,AVAILABILITY,domains.list,49:19.7
www2.adfreetv.ch,AVAILABILITY,domains.list,49:20.3
www.adfreetv.ch,AVAILABILITY,domains.list,49:20.9
ws.tidafors.xyz,AVAILABILITY,domains.list,49:21.6
ws032.ws.tidafors.xyz,AVAILABILITY,domains.list,49:22.2
www.coin-cube.com,AVAILABILITY,domains.list,49:22.7
www.graftpool.ovh,AVAILABILITY,domains.list,49:23.4
www.indiaproxydl.org,AVAILABILITY,domains.list,49:24.1
www.magnetbay.eu,AVAILABILITY,domains.list,49:25.1
www.never.ovh,AVAILABILITY,domains.list,49:25.8
www.p.tidafors.xyz,AVAILABILITY,domains.list,49:26.5
www.test.cryptonoter.com,AVAILABILITY,domains.list,49:32.1
www.pool.cryptonoter.com,AVAILABILITY,domains.list,49:41.1
www.traviilo.com,AVAILABILITY,domains.list,49:41.8
www.tidafors.xyz,AVAILABILITY,domains.list,49:42.4
www.webminepool.tk,AVAILABILITY,domains.list,49:44.0
www.whchsvlxch.site,AVAILABILITY,domains.list,49:44.7
